title,year,review_text,rating,source
Letters from Iwo Jima,2006,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",7.9,IMDB
The Fall,2006,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",7.9,IMDB
Life of Pi,2012,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",7.9,IMDB
Fantastic Mr. Fox,2009,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,7.9,IMDB
C.R.A.Z.Y.,2005,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",7.9,IMDB
Les choristes,2004,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,7.9,IMDB
Iron Man,2008,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,IMDB
Shaun of the Dead,2004,A man's uneventful life is disrupted by the zombie apocalypse.,7.9,IMDB
Gegen die Wand,2004,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",7.9,IMDB
Mystic River,2003,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,7.9,IMDB
Harry Potter and the Prisoner of Azkaban,2004,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",7.9,IMDB
Ying xiong,2002,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",7.9,IMDB
Hable con ella,2002,Two men share an odd friendship while they care for two women who are both in deep comas.,7.9,IMDB
No Man's Land,2001,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",7.9,IMDB
Cowboy Bebop: Tengoku no tobira,2001,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",7.9,IMDB
The Bourne Identity,2002,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",7.9,IMDB
Nueve reinas,2000,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",7.9,IMDB
Children of Men,2006,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",7.9,IMDB
Almost Famous,2000,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,7.9,IMDB
Mulholland Dr.,2001,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",7.9,IMDB
Toy Story 2,1999,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",7.9,IMDB
Boogie Nights,1997,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",7.9,IMDB
Mimi wo sumaseba,1995,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",7.9,IMDB
Once Were Warriors,1994,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,7.9,IMDB
True Romance,1993,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",7.9,IMDB
Trois couleurs: Bleu,1993,A woman struggles to find a way to live her life after the death of her husband and child.,7.9,IMDB
Jûbê ninpûchô,1993,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,7.9,IMDB
Carlito's Way,1993,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",7.9,IMDB
Edward Scissorhands,1990,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",7.9,IMDB
My Left Foot: The Story of Christy Brown,1989,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",7.9,IMDB
Crimes and Misdemeanors,1989,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,7.9,IMDB
The Untouchables,1987,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",7.9,IMDB
Hannah and Her Sisters,1986,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",7.9,IMDB
Brazil,1985,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,7.9,IMDB
This Is Spinal Tap,1984,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",7.9,IMDB
A Christmas Story,1983,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",7.9,IMDB
The Blues Brothers,1980,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",7.9,IMDB
Manhattan,1979,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,7.9,IMDB
All That Jazz,1979,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",7.9,IMDB
Dawn of the Dead,1978,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",7.9,IMDB
All the President's Men,1976,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",7.9,IMDB
La montaña sagrada,1973,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",7.9,IMDB
Amarcord,1973,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,7.9,IMDB
Le charme discret de la bourgeoisie,1972,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",7.9,IMDB
"Aguirre, der Zorn Gottes",1972,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",7.9,IMDB
Harold and Maude,1971,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",7.9,IMDB
Patton,1970,The World War II phase of the career of controversial American general George S. Patton.,7.9,IMDB
The Wild Bunch,1969,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",7.9,IMDB
Night of the Living Dead,1968,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,7.9,IMDB
The Lion in Winter,1968,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",7.9,IMDB
In the Heat of the Night,1967,A black police detective is asked to investigate a murder in a racially hostile southern town.,7.9,IMDB
Charade,1963,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,7.9,IMDB
The Manchurian Candidate,1962,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,7.9,IMDB
Spartacus,1960,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,7.9,IMDB
L'avventura,1960,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",7.9,IMDB
Hiroshima mon amour,1959,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,7.9,IMDB
The Ten Commandments,1956,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",7.9,IMDB
The Searchers,1956,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,7.9,IMDB
East of Eden,1955,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",7.9,IMDB
High Noon,1952,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",7.9,IMDB
Strangers on a Train,1951,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,7.9,IMDB
Harvey,1950,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",7.9,IMDB
Miracle on 34th Street,1947,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",7.9,IMDB
Notorious,1946,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,7.9,IMDB
The Big Sleep,1946,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",7.9,IMDB
The Lost Weekend,1945,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,7.9,IMDB
The Philadelphia Story,1940,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",7.9,IMDB
His Girl Friday,1940,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,7.9,IMDB
The Adventures of Robin Hood,1938,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",7.9,IMDB
A Night at the Opera,1935,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,7.9,IMDB
King Kong,1933,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,7.9,IMDB
Freaks,1932,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",7.9,IMDB
Nosferatu,1922,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,7.9,IMDB
The Gentlemen,2019,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8,IMDB
Raazi,2018,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,7.8,IMDB
Sound of Metal,2019,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,7.8,IMDB
Forushande,2016,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",7.8,IMDB
Dunkirk,2017,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",7.8,IMDB
Perfetti sconosciuti,2016,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",7.8,IMDB
Hidden Figures,2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,7.8,IMDB
Paddington 2,2017,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",7.8,IMDB
Udta Punjab,2016,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,7.8,IMDB
Kubo and the Two Strings,2016,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,7.8,IMDB
M.S. Dhoni: The Untold Story,2016,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,7.8,IMDB
Manchester by the Sea,2016,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,7.8,IMDB
Under sandet,2015,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",7.8,IMDB
Rogue One,2016,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,7.8,IMDB
Captain America: Civil War,2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,IMDB
The Hateful Eight,2015,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",7.8,IMDB
Little Women,2019,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",7.8,IMDB
Loving Vincent,2017,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",7.8,IMDB
Pride,2014,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,7.8,IMDB
Le passé,2013,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",7.8,IMDB
La grande bellezza,2013,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",7.8,IMDB
The Lunchbox,2013,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,7.8,IMDB
Vicky Donor,2012,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",7.8,IMDB
Big Hero 6,2014,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",7.8,IMDB
About Time,2013,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",7.8,IMDB
English Vinglish,2012,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",7.8,IMDB
Kaze tachinu,2013,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",7.8,IMDB
Toy Story 4,2019,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",7.8,IMDB
La migliore offerta,2013,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,7.8,IMDB
Moonrise Kingdom,2012,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",7.8,IMDB
How to Train Your Dragon 2,2014,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",7.8,IMDB
The Big Short,2015,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,7.8,IMDB
Kokuhaku,2010,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,7.8,IMDB
Ang-ma-reul bo-at-da,2010,A secret agent exacts revenge on a serial killer through a series of captures and releases.,7.8,IMDB
The Girl with the Dragon Tattoo,2011,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",7.8,IMDB
Captain Phillips,2013,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",7.8,IMDB
Ajeossi,2010,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,7.8,IMDB
Straight Outta Compton,2015,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",7.8,IMDB
Madeo,2009,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,7.8,IMDB
Chugyeokja,2008,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,7.8,IMDB
The Hobbit: The Desolation of Smaug,2013,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",7.8,IMDB
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",7.8,IMDB
Män som hatar kvinnor,2009,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,7.8,IMDB
The Trial of the Chicago 7,2020,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.8,IMDB
Druk,2020,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",7.8,IMDB
The Fighter,2010,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",7.8,IMDB
Taken,2008,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",7.8,IMDB
The Boy in the Striped Pyjamas,2008,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",7.8,IMDB
Once,2007,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",7.8,IMDB
The Hobbit: An Unexpected Journey,2012,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",7.8,IMDB
Auf der anderen Seite,2007,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,7.8,IMDB
Atonement,2007,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,7.8,IMDB
Drive,2011,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,7.8,IMDB
American Gangster,2007,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",7.8,IMDB
Avatar,2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.8,IMDB
Mr. Nobody,2009,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",7.8,IMDB
Apocalypto,2006,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",7.8,IMDB
Little Miss Sunshine,2006,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,7.8,IMDB
Hot Fuzz,2007,A skilled London police officer is transferred to a small town with a dark secret.,7.8,IMDB
The Curious Case of Benjamin Button,2008,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",7.8,IMDB
Veer-Zaara,2004,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",7.8,IMDB
Adams æbler,2005,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,7.8,IMDB
Pride & Prejudice,2005,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",7.8,IMDB
The World's Fastest Indian,2005,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",7.8,IMDB
Tôkyô goddofâzâzu,2003,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",7.8,IMDB
Serenity,2005,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,7.8,IMDB
Walk the Line,2005,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",7.8,IMDB
Ondskan,2003,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",7.8,IMDB
The Notebook,2004,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",7.8,IMDB
Diarios de motocicleta,2004,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,7.8,IMDB
Lilja 4-ever,2002,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",7.8,IMDB
Les triplettes de Belleville,2003,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",7.8,IMDB
Gongdong gyeongbi guyeok JSA,2000,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",7.8,IMDB
The Count of Monte Cristo,2002,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",7.8,IMDB
Waking Life,2001,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,7.8,IMDB
Remember the Titans,2000,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,7.8,IMDB
Wo hu cang long,2000,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,7.8,IMDB
Todo sobre mi madre,1999,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",7.8,IMDB
Cast Away,2000,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,7.8,IMDB
The Boondock Saints,1999,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,7.8,IMDB
The Insider,1999,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,7.8,IMDB
October Sky,1999,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",7.8,IMDB
Shrek,2001,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.8,IMDB
Titanic,1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.8,IMDB
Hana-bi,1997,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",7.8,IMDB
Gattaca,1997,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,7.8,IMDB
The Game,1997,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",7.8,IMDB
Breaking the Waves,1996,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",7.8,IMDB
Ed Wood,1994,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",7.8,IMDB
What's Eating Gilbert Grape,1993,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,7.8,IMDB
Tombstone,1993,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",7.8,IMDB
The Sandlot,1993,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",7.8,IMDB
The Remains of the Day,1993,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,7.8,IMDB
Naked,1993,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",7.8,IMDB
The Fugitive,1993,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",7.8,IMDB
A Bronx Tale,1993,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,7.8,IMDB
Batman: Mask of the Phantasm,1993,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,7.8,IMDB
Lat sau san taam,1992,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,7.8,IMDB
Night on Earth,1991,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,7.8,IMDB
La double vie de Véronique,1991,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",7.8,IMDB
Boyz n the Hood,1991,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",7.8,IMDB
Misery,1990,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",7.8,IMDB
Awakenings,1990,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",7.8,IMDB
Majo no takkyûbin,1989,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",7.8,IMDB
Glory,1989,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",7.8,IMDB
Dip huet seung hung,1989,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,7.8,IMDB
Back to the Future Part II,1989,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",7.8,IMDB
Mississippi Burning,1988,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,7.8,IMDB
Predator,1987,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,7.8,IMDB
Evil Dead II,1987,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,7.8,IMDB
Ferris Bueller's Day Off,1986,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",7.8,IMDB
Down by Law,1986,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",7.8,IMDB
The Goonies,1985,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,7.8,IMDB
The Color Purple,1985,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,7.8,IMDB
The Breakfast Club,1985,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,7.8,IMDB
The Killing Fields,1984,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",7.8,IMDB
Ghostbusters,1984,Three former parapsychology professors set up shop as a unique ghost removal service.,7.8,IMDB
The Right Stuff,1983,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",7.8,IMDB
The King of Comedy,1982,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",7.8,IMDB
E.T. the Extra-Terrestrial,1982,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,7.8,IMDB
